key,source,target
EquipmentText/Attribute_AuxWeapon_Desc2,Bonus duration for Auxiliary Weapon-type Divine Tech abilities,
EquipmentText/Attribute_AuxWeapon_Desc3,Bonus attack speed for Auxiliary Weapon-type Divine Tech abilities,
EquipmentText/Attribute_AuxWeapon_Desc6,Bonus Crit Chance for Auxiliary Weapon-type Divine Tech abilities,
EquipmentText/AffixeName15,Aux,
EquipmentText/AffixeName57,Support,
EquipmentText/TalentName2305,Cooldown,
EquipmentText/TalentName3305,Cooldown,
EquipmentText/TalentName4309,Cooldown,
EquipmentText/TalentName5203,Cooldown,
EquipmentText/TalentName5207,Cooldown,
EquipmentText/TalentName5309,Cooldown,
EquipmentText/EquipmentTypeID210000,Swiftplate Armor,
EquipmentText/TalentName1004,Quick Load,
EquipmentText/TalentName2002,Quick Load,
EquipmentText/TalentName2200,Quick Load,
EquipmentText/TalentName2206,Quick Load,
EquipmentText/TalentName3002,Quick Load,
EquipmentText/TalentName4006,Quick Load,
EquipmentText/TalentName4200,Quick Load,
EquipmentText/TalentName4206,Quick Load,
EquipmentText/EquipmentTypeID260510,Overheat Chain Bracelet,
EquipmentText/AffixeName27,Overload,
EquipmentText/EquipmentTypeID211504,Close-Quarters Combat Suit,
EquipmentText/ModuleTips2172,Melee attacks hitting enemies have a <Green_14>33%</> chance to fire <Green_14>1</> additional sword wave.,
EquipmentText/TalentName2009,CQC Expert,
EquipmentText/EquipmentTypeID210503,Long-Range Combat Suit,
EquipmentText/TalentName1204,Long Shot,
EquipmentText/TalentName2003,Long Shot,
EquipmentText/TalentName5007,Long Shot,
EquipmentText/TalentName5104,Long Shot,
EquipmentText/TalentName1010,Combo,
EquipmentText/AffixeName2005,Rapid Fire,
EquipmentText/TalentName5009,Rapid Arrow,
EquipmentText/TalentName1210,Chain Chase,
EquipmentText/TalentName5110,Chain Chase,
EquipmentText/TalentName1200,Chase DMG,
EquipmentText/TalentName2100,Chase DMG,
EquipmentText/TalentName5100,Chase DMG,
EquipmentText/Attribute_Chase_Name,Chase,
EquipmentText/Attribute_Chase_Info1,Chase Damage,
EquipmentText/Attribute_Chase_Info2,Chase Projectiles,
EquipmentText/Attribute_Chase_Info4,Chase Duration,
EquipmentText/Attribute_Chase_Info5,Chase Slots,
EquipmentText/TalentName1206,Chase Slot,
EquipmentText/TalentName2104,Chase Slot,
EquipmentText/TalentName5106,Chase Slot,
EquipmentText/TalentName1209,Chase Crit,
EquipmentText/TalentName2108,Chase Crit,
EquipmentText/Attribute_Chase_Info6,Chase Crit Chance,
EquipmentText/Attribute_Chase_Desc1,Bonus damage for chase-type Divine Tech abilities,
EquipmentText/Attribute_Chase_Desc4,Bonus duration for chase-type Divine Tech abilities,
EquipmentText/Attribute_Chase_Desc3,Bonus Area for chase-type Divine Tech abilities,
EquipmentText/Attribute_Chase_Desc6,Bonus Crit Chance for chase-type Divine Tech abilities,
EquipmentText/Attribute_Chase_Info3,Chase Area,
EquipmentText/TalentName1202,Chase Area,
EquipmentText/TalentName2102,Chase Area,
EquipmentText/TalentName5102,Chase Area,
EquipmentText/EquipmentTypeID180504,Shadowchase,
EquipmentText/EquipmentTypeID201502,Stalker Helm,
EquipmentText/EquipmentTypeID200501,Stalker Visor,
EquipmentText/EquipmentTypeID170500,Hunt Beacon,
EquipmentText/AffixeName54,Hunting,
EquipmentText/TalentName3108,Adrenaline,
EquipmentText/EquipmentTypeID211001,Backfire Armor,
EquipmentText/TalentName3210,Bounty,
EquipmentText/TalentName1201,Fast Shot,
EquipmentText/TalentName2101,Fast Shot,
EquipmentText/TalentName5101,Fast Shot,
EquipmentText/EquipmentTypeID250512,Rapid-Fire Calibrator,
EquipmentText/EquipmentTypeID170000,Rapid Shortbow,
EquipmentText/Attribute_Others_Info5,Item Drop Rate,
EquipmentText/TalentName1400,Gather,
EquipmentText/TalentName2400,Gather,
EquipmentText/TalentName3400,Gather,
EquipmentText/TalentName4400,Gather,
EquipmentText/TalentName5400,Gather,
EquipmentText/ModuleTips2149,"While [Tactical Skill - Electromagnetic Storm] is active, [Dash - Lightning Transform] has no cooldown.",
EquipmentText/TalentDesc5209,"After casting [Tactical Skill], <Green_12>10%</> chance to cast another random [Tactical Skill] (auto only)",
EquipmentText/TalentDesc2210,"After casting [Psionic], <Green_12>20%</> chance to cast again",
EquipmentText/TalentDesc4210,"After casting [Psionic], <Green_12>20%</> chance to cast again",
EquipmentText/TalentDesc3110,"After casting [Psionic], gain <Green_12>2.5</> Armor for <Green_12>5</>s, stacks up to <Green_12>5</>",
EquipmentText/TalentDesc2211,"Using [Psionic] has a <Green_12>35%</> chance to gain <Green_12>10%</> damage reduction for <Green_12>3</>s. When this buff ends, it explodes, dealing <Green_12>1500</><White_12>(Scales with Combat Level up to 8850)</> [Psionic] damage.",
EquipmentText/EquipmentTypeID221001,Gravity Belt,
EquipmentText/EquipmentTypeID241000,Heavy Mag-Beam Boot,
EquipmentText/EquipmentTypeID250508,Rebirth Insurer,
EquipmentText/Armor_Type_Heavy,Heavy,
EquipmentText/TalentName1407,Reroll,
EquipmentText/TalentName2409,Reroll,
EquipmentText/TalentName3409,Reroll,
EquipmentText/TalentName4407,Reroll,
EquipmentText/TalentName5407,Reroll,
EquipmentText/AffixeName47,Reroll,
EquipmentText/EquipmentTypeID231000,Hammerfist,
EquipmentText/EquipmentTypeID260001,Quantum Band,
EquipmentText/TalentName2309,Bastion,
EquipmentText/TalentName3309,Bastion,
EquipmentText/EquipmentTypeID211501,Bastion Alloy Chestplate,
EquipmentText/EquipmentTypeID260507,Iron Judgment Bracelet,
EquipmentText/EquipmentTypeID180501,Ironclad,
EquipmentText/EquipmentTypeID130010,Ironbone Plasma Rifle,
EquipmentText/AffixeName2007,Chain,
EquipmentText/EquipmentTypeID250500,Koi-Tek Visor,
EquipmentText/EquipmentTypeID120000,Sawed-Off Shotgun,
EquipmentText/EquipmentTypeID241500,Riot-Strike Heavy Boot,
EquipmentText/TalentName1003,Dash Reload,
EquipmentText/EquipmentTypeID200505,Lightning Charge Helm,
EquipmentText/Attribute_Survival_Info9,Evasion,
EquipmentText/arr_BaseAttributeBonusDisplay2,Evasion + <Green_14>%s</>,
EquipmentText/EquipmentTypeID200000,Stealth Helmet,
EquipmentText/AffixeName2032,Lightning Counter,
EquipmentText/AffixeName2018,Stormsurge,
EquipmentText/EquipmentTypeID150502,Mjolnir,
EquipmentText/AffixeName2057,Thunder Roar,
EquipmentText/TalentName2107,Shock Chase,
EquipmentText/AffixeName2031,Frost Detonation,
EquipmentText/Weapon_Type_SG,Shotgun,
EquipmentText/ModuleTips2012,"When stationary, [Weapon] Fire Rate +<Green_14>20%</>, <Green_14>50%</> chance not to consume ammo. When moving, [Weapon] Damage +<Green_14>20%</>.",
EquipmentText/EquipmentTypeID110500,Static Anchor,
EquipmentText/EquipmentTypeID260506,Silent Torrent Bracelet,
EquipmentText/Armor_Type_Boot,Boots,
EquipmentText/TalentDesc2200,Extra [Weapon] Reload Speed +<Green_12>%s%</>,
EquipmentText/TalentDesc2206,Extra [Weapon] Reload Speed +<Green_12>%s%</>,
EquipmentText/TalentDesc4200,Extra [Weapon] Reload Speed +<Green_12>%s%</>,
EquipmentText/TalentDesc4206,Extra [Weapon] Reload Speed +<Green_12>%s%</>,
EquipmentText/Attribute_Ammo_Info9,Magazine Capacity Bonus,
EquipmentText/Attribute_Ammo_Info7,Ricochet Count Bonus,
EquipmentText/Attribute_Ammo_Info5,Projectile Count Bonus,
EquipmentText/Attribute_Ammo_Info8,Reload Speed Bonus,
EquipmentText/Attribute_Ammo_Info4,Weapon Pierce Bonus,
EquipmentText/EquipmentTypeID150020,Storm Launcher,
EquipmentText/EquipmentTypeID200504,Stormhelm,
EquipmentText/EquipmentTypeID120020,Tempest Shotgun,
EquipmentText/EquipmentTypeID160020,Windhawk Sniper,
EquipmentText/TalentName2410,Ascend,
EquipmentText/TalentName3410,Ascend,
EquipmentText/AffixeName2001,Searing,
EquipmentText/AffixeName2004,High-ImTech,
EquipmentText/EquipmentTypeID160500,Frei-Schütze,
EquipmentText/EquipmentTypeID241502,Inferno Greaves,
EquipmentText/EquipmentTypeID170501,Arcanist Longbow,
EquipmentText/EquipmentTypeID230504,Blood Feast,
EquipmentText/AffixeName2058,Fatal Poison,
EquipmentText/EquipmentTypeID250504,Hacker Shades,
EquipmentText/ModuleTips2131,Black Hole explosion damage increased by <Green_14>100%</>. Enemies affected by the Black Hole have their Move Speed reduced by <Green_14>70%</> for <Green_14>3</> seconds.,
EventText/Attribute_SwordInStone,"%? %d%% Crit Chance, %d%% Crit DMG",
EventText/Attribute_SprintSlot,%d [Dash] Slots,
EventText/Attribute_DashChargeInc,%d [Dash] Charges,
EventText/Attribute_SkillSlot,%d [Tactical Skill] Slots,
EventText/Attribute_ThrowCharge,%d [Throw] Charges,
EventText/Attribute_ThrowCount,%d [Throw] Projectile Count,
EventText/Attribute_ThrowSlot,%d [Throw] Slots,
EventText/Attribute_WeaponRicochetInc,%d [Weapon] Ricochet Count,
EventText/Attribute_WeaponProjInc,%d [Weapon] Projectile Count,
EventText/Attribute_AmmoSlot,%d [Weapon] Slots,
EventText/Attribute_PsionicSlot,%d [Psionic] Slots,
EventText/Attribute_AuxWeaponSlot,%d [Auxiliary Weapon] Slots,
EventText/Attribute_ChaseSlot,%d [Chase] Slots,
EventText/Attribute_KillHealInc,%d On-Kill Heal,
EventText/Attribute_HealthOnLevelUp,%d Level-Up Heal,
EventText/Attribute_RebornInc,%d Revival Count,
EventText/Attribute_ArmorInc,%d Armor,
EventText/Attribute_MaxHPInc,%d Max HP,
EventText/Attribute_JiaHP,%d HP,
EventText/Attribute_TechBanInc,%d Tech Bans,
EventText/Attribute_TechAlterInc,%d Tech Alterations,
EventText/Attribute_TechRerollInc,%d Tech Rerolls,
EventText/Attribute_LvUp,%d Level,
EventText/Attribute_ExpGet,%d EXP,
EventText/Attribute_ExpColRangeInc,%d EXP Pickup Radius,
EventText/Attribute_TechSpawnRateInc,%d%% %p Tech Spawn Chance,
EventText/Attribute_LegendTech,%d%% <Tab_Buff_ChuanShuo>Legendary Divine Tech</> Spawn Rate,
EventText/Attribute_MythicTech,%d%% <Tab_Buff_ShenHua>Mythic Divine Tech</> Spawn Rate,
EventText/Attribute_EpicTech,%d%% <Tab_Buff_ShiShi>Epic Divine Tech</> Spawn Rate,
EventText/Attribute_RareTech,%d%% <Tab_Buff_XiYou>Rare Divine Tech</> Spawn Rate,
EventText/Attribute_BaoZhaUp,%d%% <Tab_baozha12>[Explosion]</> Tech spawn chance weight,
EventText/Attribute_HanBingUp,%d%% <Tab_hanbing12>[Frost]</> Tech spawn chance weight,
EventText/Attribute_LeiDianUp,%d%% <Tab_leidian12>[Lightning]</> Tech spawn chance weight,
EventText/Attribute_LieYanUp,%d%% <Tab_lieyan12>[Inferno]</> Tech spawn chance weight,
EventText/Attribute_QiangSuanUp,%d%% <Tab_qiangsuan12>[Corrosive]</> Tech spawn chance weight,
EventText/Attribute_ZhiXieUp,%d%% <Tab_zhixie12>[Mechatech]</> Tech spawn chance weight,
EventText/Attribute_DashDMGInc,%d%% [Dash] Damage,
EventText/Attribute_SprintCD,%d%% [Dash] CD Reduction,
EventText/Attribute_DashDUInc,%d%% [Dash] Duration,
EventText/Attribute_DashCRInc,%d%% [Dash] Crit Chance,
EventText/Attribute_DashRangeInc,%d%% [Dash] Area,
EventText/Attribute_SkillDMGInc,%d%% [Tactical Skill] DMG,
EventText/Attribute_SkillDUInc,%d%% [Tactical Skill] Duration,
EventText/Attribute_SkillCRInc,%d%% [Tactical Skill] Crit Chance,
EventText/Attribute_SkillRangeInc,%d%% [Tactical Skill] Area,
EventText/Attribute_ThrowDMGInc,%d%% [Throw] Damage,
EventText/Attribute_ThrowDUInc,%d%% [Throw] Duration,
EventText/Attribute_ThrowCRInc,%d%% [Throw] Crit Chance,
EventText/Attribute_ThrowRangeInc,%d%% [Throw] Area,
EventText/Attribute_WeaponDamageInc,%d%% [Weapon] Damage,
EventText/Attribute_FireRateInc,%d%% [Weapon] Fire Rate,
EventText/Attribute_WeaponRangeInc,%d%% [Weapon] Range,
EventText/Attribute_WeaponReloadInc,%d%% [Weapon] Reload Speed,
EventText/Attribute_WeaponCritDInc,%d%% [Weapon] Crit Damage,
EventText/Attribute_WeaponCritCInc,%d%% [Weapon] Crit Chance,
EventText/Attribute_PsionicDMGInc,%d%% [Psionic] Damage,
EventText/Attribute_PsionicCRInc,%d%%[Psionic] Crit Chance,
EventText/Attribute_PsionicRangeInc,%d%% [Psionic] Area,
EventText/Attribute_AuxWeaponDamageInc,%d%% [Auxiliary Weapon] Damage,
EventText/Attribute_AuxWeaponDUInc,%d%% [Auxiliary Weapon] Duration,
EventText/Attribute_AuxRangeInc,%d%% [Auxiliary Weapon] Attack Area,
EventText/Attribute_AuxRateInc,%d%% [Auxiliary Weapon] Attack Speed,
EventText/Attribute_AuxWeaponCRInc,%d%% [Auxiliary Weapon] Crit Chance,
EventText/Attribute_ChaseDMGInc,%d%% [Chase] Damage,
EventText/Attribute_ChaseCRInc,%d%% [Chase] Crit Chance,
EventText/Attribute_ChaseRangeInc,%d%% [Chase] Area,
EventText/Attribute_DamageInc,%d%% Damage,
EventText/Attribute_CDReductionInc,%d%% Cooldown Reduction,
EventText/Attribute_HealthOnKill,%d%% Chance of On-Kill Heal,
EventText/Attribute_AirdropSPD,%d%% Level-Up Airdrop arrival speed,
EventText/Attribute_DMGBossInc,%d%% Damage to Elites & Boss,
EventText/Attribute_HealthOnHit,%d%% Chance of On-Hit Heal,
EventText/Attribute_LuckInc,%d%% Luck,
EventText/Attribute_Duration,%d%% Duration,
EventText/Attribute_CritDMGInc,%d%% Crit Damage,
EventText/Attribute_CritChanceInc,%d%% Crit Chance,
EventText/Attribute_ItemDropInc,%d%% Consumable item drop rate,
EventText/Attribute_HealBonusInc,%d%% Healing Bonus,
EventText/Attribute_MoveSPDInc,%d%% Movement Speed,
EventText/Attribute_ExpGetBonus,%d%% EXP Gain,
EventText/Attribute_HPRegenInc,%f Health Regen,
EventText/Attribute_CantGetExp,%t%d sec cannot gain EXP,
EventText/AIFengShui_Buff1,<interact_Blue>Rare Divine Tech</> Spawn Rate <interact_Green>+18%</>,
EventText/AIFengShui_Buff4,<interact_Golden>Mythic Divine Tech</> Spawn Rate <interact_Green>+2%</>,
EventText/ZhaoCai_Buff1,EXP Pickup Radius is <interact_Green>greatly increased</> in <interact_Green>10</> sec,
EventText/HPXieYi_Buff2,"For <interact_Green>120</>s, Chance of On-Hit Heal <interact_Green>+15%</>",
EventText/JingZhunDW_Buff1,Level-Up Airdrop arrival speed <interact_Green>+100%</> in <interact_Green>180</> sec,
EventText/CanQueLF_Buff1,Damage <interact_Green>+30%</> in <interact_Green>30</> sec,
EventText/HuoliQK_Buff1,Damage <interact_Green>+50%</> in <interact_Green>30</> sec,
EventText/CanQueLF_Buff5,Cooldown Reduction <interact_Green>+45%</> in <interact_Green>30</> sec,
EventText/CanQueLF_Buff4,Fire Rate <interact_Green>+45%</> in <interact_Green>30</> sec,
EventText/CanQueLF_Buff2,Armor <interact_Green>+15</> in <interact_Green>30</> sec,
EventText/CanQueLF_Buff6,Health Regen per second <interact_Green>+3</> in <interact_Green>30</> sec,
EventText/CanQueLF_Buff3,Movement Speed <interact_Green>+30%</> in <interact_Green>30</> sec,
EventText/CanQueLF_Buff7,EXP Gained <interact_Green>+30%</> in <interact_Green>30</> sec,
EventText/CanQueLF_Buff8,EXP Pickup Radius <interact_Green>+1600</> in <interact_Green>30</> sec,
EventText/HPXieYi_Buff1,"For <interact_Green>30</>s, restores <interact_Green>10</> HP per second",
EventText/XinHaoKZ_Buff1,EXP Pickup Radius <interact_Green>+500</> in <interact_Green>60</> sec,
EventText/AIFengShui_Buff2,<interact_Purple>Epic Divine Tech</> Spawn Rate <interact_Green>+6%</>,
EventText/ZuZhouBX_Debuff1,Damage <interact_Red>-15%</> in <interact_Red>30</> sec,
EventText/ZuZhouBX_Debuff5,Cooldown Reduction <interact_Red>-20%</> in <interact_Red>30</> sec,
EventText/ZuZhouBX_Debuff4,Fire Rate <interact_Red>-20%</> in <interact_Red>30</> sec,
EventText/ZuZhouBX_Debuff2,Armor <interact_Red>-8</> in <interact_Red>30</> sec,
EventText/DengJiaJHY_Buff1,Cannot pickup EXP for <interact_Red>30</>s. EXP gain <interact_Green>+10%</>.,
EventText/ZuZhouBX_Debuff3,Movement Speed <interact_Red>-15%</> in <interact_Red>30</> sec,
EventText/DengJiaJHY_Buff2,Movement Speed <interact_Red>-15%</> for <interact_Red>30</>s. Character Level <interact_Green>+1</>.,
EventText/AIFengShui_Buff3,<interact_Yellow>Legendary Divine Tech</> Spawn Rate <interact_Green>+3%</>,
EventText/KeJiTSY_Buff4,<interact_baozha15>[Explosion]</> Tech spawn chance weight <interact_Green>+100%</>,
EventText/KeJiTSY_Buff3,<interact_hanbing15>[Frost]</> Tech spawn chance weight <interact_Green>+100%</>,
EventText/KeJiTSY_Buff2,<interact_leidian15>[Lightning]</> Tech spawn chance weight <interact_Green>+100%</>,
EventText/KeJiTSY_Buff1,<interact_lieyan15>[Inferno]</> Tech spawn chance weight <interact_Green>+100%</>,
EventText/KeJiTSY_Buff6,<interact_qiangsuan15>[Corrosive]</> Tech spawn chance weight <interact_Green>+100%</>,
EventText/KeJiTSY_Buff5,<interact_zhixie15>[Mechatech]</> Tech spawn chance weight <interact_Green>+100%</>,
EventText/AIFengShui_Name,AI Geomancer,
EventText/XingYunYJJ_Buff2,[Dash] Damage <interact_Green>+5%</>,
EventText/XingYunYJJ_Buff9,[Dash] Cooldown Reduction <interact_Green>+2%</>,
EventText/FuFeiCDZ_Buff2,"[Dash] Duration <interact_Red>-23%</>, [Dash] CD Reduction <interact_Green>+15%</>",
EventText/XingYunYJJ_Buff6,[Tactical Skill] Damage <interact_Green>+7%</>,
EventText/XingYunYJJ_Buff13,[Tactical Skill] Crit Chance <interact_Green>+3%</>,
EventText/ShenMiHX_Buff2,"[Tactical Skill] Area <interact_Red>-10%</>, Cooldown Reduction <interact_Green>+15%</>",
EventText/XingYunYJJ_Buff5,[Throw] Damage <interact_Green>+12%</>,
EventText/XingYunYJJ_Buff12,[Throw] Area <interact_Green>+12%</>,
EventText/XingYunYJJ_Buff1,[Weapon] Damage <interact_Green>+4%</>,
EventText/XingYunYJJ_Buff8,[Weapon] Reload Speed <interact_Green>+8%</>,
EventText/XingYunYJJ_Buff4,[Psionic] Damage <interact_Green>+5%</>,
EventText/XingYunYJJ_Buff11,[Psionic] Area <interact_Green>+5%</>,
EventText/XingYunYJJ_Buff7,[Auxiliary Weapon] Damage <interact_Green>+6%</>,
EventText/ShenMiHX_Buff3,"[Auxiliary Weapon] Range <interact_Red>-10%</>, [Auxiliary Weapon] Attack Speed <interact_Green>+30%</>",
EventText/XingYunYJJ_Buff14,[Auxiliary Weapon] Duration <interact_Green>+9%</>,
EventText/XingYunYJJ_Buff3,[Chase] Damage <interact_Green>+5%</>,
EventText/XingYunYJJ_Buff10,[Chase] Crit Chance <interact_Green>+2%</>,
EventText/HPXieYi_Desc,"Specialist, based on your real-time vital signs, the Divine System has generated a Short-Term Life Asset Management Plan for you.",
EventText/FuFeiCDZ_Name,Paid Charging Station,
EventText/WanMeiLF_Buff1,Damage <interact_Green>+3%</>,
EventText/MingDeng_Desc,"As an agent of the Divine, R.I.P. will forever illuminate the path ahead for all outstanding warriors.",
EventText/ShiZhongJ_Success,"You are the Chosen King: Crit Chance <interact_Green>+{0}%</>, Crit Damage <interact_Green>+{1}%</>.",
EventText/XinHaoKZ_Name,Signal Expansion,
EventText/Attribute_OutNoEXPInTimer_AddExp,"Cannot gain EXP until the countdown ends. Then, %d%% EXP Gain.",
EventText/FuFeiCDZ_Buff4,Free Trial: Movement Speed <interact_Green>+2%</>,
EventText/LuckChoice_UI_Confirm,Claim All,
EventText/WanMeiLF_Buff5,Cooldown Reduction <interact_Green>+4%</>,
EventText/FuFeiCDZ_Buff3,"Cooldown Reduction <interact_Red>-15%</>, [Throw] Projectile Count <interact_Green>+1</>",
EventText/JinJiJY_Buff5,Chance of On-Kill Heal <interact_Green>+15%</>,
EventText/ShiZhongJ_Fail,The sword remains immovable: HP <interact_Red>-{0}</>.,
EventText/JinJiJY_Buff7,Level-Up Heal <interact_Green>+15</>,
EventText/LuckChoice_UI_Cancel,Undo Discard,
EventText/YingJiZLZ_Buff1,Healed,
EventText/JinJiJY_Buff8,Revival Count <interact_Green>+1</>,
EventText/DengJiaJHY_Desc,There’s no such thing as a free lunch; but that doesn’t mean there aren’t discounted ones.,
EventText/XingYunYJJ_Name,Fortune Vendor,
EventText/DanCheBMT_Buff1,Safety First: Armor <interact_Green>+3</>,
EventText/WanMeiLF_Name,Perfect Cube,
EventText/JinJiJY_Buff6,Chance of On-Hit Heal <interact_Green>+5%</>,
EventText/WanMeiLF_Buff4,Fire Rate <interact_Green>+3%</>,
EventText/FuFeiCDZ_Buff1,"Fire Rate <interact_Red>-10%</>, [Weapon] Crit Chance <interact_Green>+6%</>",
EventText/ShenMiHX_Buff1,"Fire Rate <interact_Red>-10%</>, Luck <interact_Green>+20%</>",
EventText/ShiZhongJ_Buff1,"Attempt to draw the Sword in the Stone: 40% chance of success. On success, Crit Chance <interact_Green>+5%</>, Crit Damage <interact_Green>+30%</>. On failure, HP <interact_Red>-50%</>（HP will never fall below 1）",
EventText/WanMeiLF_Buff9,Luck <interact_Green>+2%</>,
EventText/ZhiNengJQR_Buff2,Luck <interact_Green>+5%</>,
EventText/YingJiZLZ_Name,Emergency Station,
EventText/LuckChoice_UI_Tip,"Congratulations! You've Got",
EventText/LuckChoice_Desc,"Congratulations! You've found R&D's latest genius creation. Smash that button and call in the one and only Super Airdrop pod!
<interact_Red>(Friendly reminder: This product is in testing and lacks an IFF system. Make sure to avoid the impact!!)</>",
EventText/FuFeiCDZ_Desc,"Hello, I am the latest charging pile from AlterC Company. You can pay a corresponding ""price"" to receive a powerful ""empowerment"". If you prefer not to pay, we also offer a special Free Trial Service. We hope you will be satisfied.",
EventText/ZhiNengJQR_Desc,"Greetings. I am Model EX3576, an intelligent service unit of R.I.P. I am here to provide assistance based on your requirements.",
EventText/ShiZhongJ_Buff2,I prefer to play it safe: Max HP <interact_Green>+10</>,
EventText/LunHuiZZFW_Buff3,"Tactical Rescue: [Tactical Skill] Damage <interact_Green>+11%</>, [Tactical Skill] Duration <interact_Green>+11%</>.",
EventText/KuoRongXY_Buff3,Tactical Core: [Tactical Skill] Slots <interact_Green>+1</>,
EventText/WanMeiLF_Buff7,Healing Bonus <interact_Green>+10%</>,
EventText/KuoRongXY_Name,Expansion Protocol,
EventText/MingDeng_Buff4,"Pitcher Training: [Throw] Area <interact_Green>+20%</>, [Throw] Crit Chance <interact_Green>+6%</>",
EventText/WanMeiLF_Buff2,Armor <interact_Green>+3</>,
EventText/ShenMiHX_Buff4,Refuse Loss: Level-Up Heal <interact_Green>+10</>,
EventText/ShiZhongJ_Desc,Pull out this sword and become the chosen King!,
EventText/ZhaoCai_Name,Fortune Toad,
EventText/LuckChoice_Buff1,Press Button: Call in Super Airdrop Pod,
EventText/LuckChoice_Buff2,"Press Supercharge Button: 50% chance to call in Super Airdrop Pod and gain <interact_Green>+100%</> Crit Chance for <interact_Green>60</>s. On failure, receive nothing.",
EventText/DanCheBMT_Desc,Go big or go home?,
EventText/LuckChoice_UI_Abandon,Discard,
EventText/KeJiTSY_Desc,"A new masterpiece from a junior researcher – providing more stable Divine power support in combat. No guarantees, but better odds.",
EventText/ZhiNengJQR_Name,Intelligent Robot,
EventText/WanMeiLF_Buff8,Crit Chance <interact_Green>+1%</>,
EventText/ZhiNengJQR_Buff1,Crit Chance <interact_Green>+2%</>,
EventText/WanMeiLF_Buff10,Max HP <interact_Green>+8</>,
EventText/DengJiaJHY_Buff4,"Max HP <interact_Red>-15</>, Damage <interact_Green>+20%</>",
EventText/ShenMiHX_Desc,A black box of unknown origin. Use with caution.,
EventText/JiXiaoJLJ_Desc,"Due to your exceptional performance, you may now select one of the following rewards. Keep up the good work!",
EventText/CanQueLF_Name,Defective Cube,
EventText/WanMeiLF_Buff6,Health Regen per second <interact_Green>+0.5</>,
EventText/WanMeiLF_Buff11,Consumable Item Drop Rate <interact_Green>+5%</>,
EventText/HuoliQK_Name,Full Firepower,
EventText/MingDeng_Buff3,"Spiritual Enlightenment: [Psionic] Area <interact_Green>+8%</>, [Psionic] Crit Chance <interact_Green>+3%</>",
EventText/LunHuiZZFW_Buff2,"Soul Maintenance: [Psionic] Damage <interact_Green>+8%</>, [Psionic] Area <interact_Green>+8%</>.",
EventText/DanCheBMT_Buff2,"Rational Investment: 70% chance of success. On success, [Dash] CD Reduction <interact_Green>+30%</>. On failure, All Damage <interact_Red>-30%</> in <interact_Red>60</> sec.",
EventText/DengJiaJHY_Buff3,"Health Regen <interact_Red>-1</> (cannot go below 0). After each kill, there is a <interact_Green>25%</> chance to restore <interact_Green>1</> HP.",
EventText/HPXieYi_Name,Survival Protocol,
EventText/LunHuiZZFW_Desc,"Biometric authentication successful. According to your signed Reincarnation Insurance policy, please select from the following premium services. Thank you for your continued support!",
EventText/HPXieYi_Buff3,A true warrior needs no healing: Damage <interact_Green>+3%</>,
EventText/ShiZhongJ_Name,Sword in the Stone,
EventText/KuoRongXY_Desc,"R&D's latest breakthrough: Absorb the corresponding Core to temporarily receive more Divine blessings. However, due to its high cost, only one type of Ability Core can be provided at a time. Please choose accordingly.",
EventText/ShenMiHX_Name,Mysterious Black Box,
EventText/WanMeiLF_Buff14,Tech Bans <interact_Green>+1</>,
EventText/JiXiaoJLJ_Buff1,Tech Bans <interact_Green>+3</>,
EventText/WanMeiLF_Buff16,Tech Alterations <interact_Green>+1</>,
EventText/KeJiTSY_Buff7,Tech Alterations <interact_Green>+2</>,
EventText/JiXiaoJLJ_Buff3,Tech Alterations <interact_Green>+3</>,
EventText/KeJiTSY_Name,Tech Calibrator α,
EventText/WanMeiLF_Buff15,Tech Rerolls <interact_Green>+1</>,
EventText/JiXiaoJLJ_Buff2,Tech Rerolls <interact_Green>+3</>,
EventText/WanMeiLF_Buff3,Movement Speed <interact_Green>+3%</>,
EventText/ZhiNengJQR_Buff3,Movement Speed <interact_Green>+5%</>,
EventText/Baoxiang_Name,Airdrop Supply Crate,
EventText/DengJiaJHY_Name,Equivalent Exchange,
EventText/JingZhunDW_Name,Precision Targeting,
EventText/JinJiJY_Name,Emergency Aid,
EventText/WanMeiLF_Buff13,EXP <interact_Green>+20</>,
EventText/JiXiaoJLJ_Buff4,EXP <interact_Green>+30</>,
EventText/WanMeiLF_Buff17,EXP Pickup Radius <interact_Green>+160</>,
EventText/ZhiNengJQR_Buff4,EXP Pickup Radius <interact_Green>+300</>,
EventText/JiXiaoJLJ_Name,Merit Matrix,
EventText/ZuZhouBX_Name,Cursed Chest,
EventText/LuckChoice_Name,Super Airdrop,
EventText/KuoRongXY_Buff2,Psionic Core: [Psionic] Slots <interact_Green>+1</>,
EventText/AIFengShui_Desc,Policyholders of R.I.P are entitled to lifelong complimentary divination. Shall I perform a divination for you?,
EventText/LunHuiZZFW_Name,R.I.P Premium Services,
EventText/MingDeng_Name,Reincarnation Beacon,
EventText/KuoRongXY_Buff4,Auxiliary Core: [Auxiliary Weapon] Slots <interact_Green>+1</>,
EventText/LunHuiZZFW_Buff4,"Assisted Driving: [Auxiliary Weapon] Damage <interact_Green>+10%</>, [Auxiliary Weapon] Duration <interact_Green>+15%</>.",
EventText/LunHuiZZFW_Buff1,"Chase Navigation: [Chase] Damage <interact_Green>+8%</>, [Chase] Area <interact_Green>+8%</>.",
