key,source,target
EquipmentText/Attribute_Tech_Desc4,Chance of being granted a Rare Divine Tech upon leveling up,Chance de receber uma Tecnologia Divina Rara ao subir de nível
EquipmentText/Attribute_Dash_Desc4,Total number of dash uses available,Número total de usos de avanço disponíveis
EquipmentText/Attribute_Others_Desc3,Experience automatically gained per second during combat,Experience automaticamente ganhaed per segundo during combat
EquipmentText/Attribute_Survival_Desc1,Character's current health,Vida atual do personagem
EquipmentText/Attribute_Survival_Desc10,Number of times the character can revive at full HP when Health reaches zero,Número de vezes que o personagem pode reviver com Vida cheia quando a Vida chega a zero
EquipmentText/ContractDesc106,"Character Career EXP Gain +<Green_14>30%</>
Credit Gain +<Green_14>30%</>","Ganho de EXP de Carreira do Personagem +<Green_14>30%</>
Ganho de Crédito +<Green_14>30%</>"
EquipmentText/Attribute_Others_Desc2,Range within which experience orbs are automatically collected,Alcance within which experience orbs are automaticamente collected
EquipmentText/Attribute_Others_Desc4,Additional bonus to all experience gained,Bônus adicional a toda experiência obtida
EquipmentText/TalentDesc5111,"After triggering [Chase], your next bow shot fires a Shadow Arrow that deals an additional <Green_12>50%</> base [Weapon] damage.","Após acionar [Perseguição], seu próximo disparo de arco dispara uma Flecha Sombria que causa <Green_12>50%</> de dano base adicional de [Arma]."
EquipmentText/TalentName2408,Manual,Manual
EquipmentText/TalentName3408,Manual,Manual
EquipmentText/AffixeName46,Trained,Trained
EquipmentText/TalentName1408,Greed,Greed
EquipmentText/AffixeName65,Penetrating,Penetrating
EquipmentText/AffixeName14,Empower,Empower
EquipmentText/TalentName2201,Psionic DMG,Dano Psiônico
EquipmentText/TalentName3100,Psionic DMG,Dano Psiônico
EquipmentText/TalentName4201,Psionic DMG,Dano Psiônico
EquipmentText/TalentName3107,Psionic Crit,Crítico Psiônico
EquipmentText/TalentName2203,Psionic Area,Área Psiônica
EquipmentText/TalentName2209,Psionic Area,Área Psiônica
EquipmentText/TalentName3101,Psionic Area,Área Psiônica
EquipmentText/TalentName4203,Psionic Area,Área Psiônica
EquipmentText/TalentName4209,Psionic Area,Área Psiônica
EquipmentText/EquipmentTypeID250505,Hypercompute Goggles,Óculos de Hipercomputação
EquipmentText/Attribute_Psionic_Name,Psionic,Psiônico
EquipmentText/Attribute_Psionic_Info2,Psionic Damage,Psionic Dano
EquipmentText/Attribute_Psionic_Info1,Psionic Projectiles,Psionic Projéteis
EquipmentText/TalentName3110,Psionic Shield,Escudo Psiônico
EquipmentText/Attribute_Psionic_Info3,Psionic Duration,Psionic Duração
EquipmentText/Attribute_Psionic_Info5,Psionic Slots,Psionic Espaços
EquipmentText/TalentName2204,Psionic Slot,Espaço Psiônico
EquipmentText/TalentName3103,Psionic Slot,Espaço Psiônico
EquipmentText/TalentName4204,Psionic Slot,Espaço Psiônico
EquipmentText/Attribute_Psionic_Info6,Psionic Crit Chance,Psionic Chance Crítica
EquipmentText/Attribute_Psionic_Desc2,Bonus damage for Psionic-type Divine Tech abilities,Bônus de dano para habilidades de Tecnologia Divina do tipo Psiônico
EquipmentText/Attribute_Psionic_Desc3,Bonus duration for Psionic-type Divine Tech abilities,Bônus de duração para habilidades de Tecnologia Divina do tipo Psiônico
EquipmentText/Attribute_Psionic_Desc4,Bonus Area for Psionic-type Divine Tech abilities,Bônus de Área para habilidades de Tecnologia Divina do tipo Psiônico
EquipmentText/Attribute_Psionic_Desc6,Bonus Crit Chance for Psionic-type Divine Tech abilities,Bônus de Chance Crítica para habilidades de Tecnologia Divina do tipo Psiônico
EquipmentText/Attribute_Psionic_Info4,Psionic Area,Psionic Área
EquipmentText/TalentName2210,Psionic Combo,Combo Psiônico
EquipmentText/TalentName4210,Psionic Combo,Combo Psiônico
EquipmentText/TalentName3207,Overload,Overload
EquipmentText/ContractName112,Overload Pact,Overload Pacto
EquipmentText/EquipmentTypeID230502,Overload Gauntlets,Manoplas de Sobrecarga
EquipmentText/EquipmentTypeID221500,Overload Plating,Blindagem de Sobrecarga
EquipmentText/EquipmentTypeID201501,OC Power Helm,Elmo de Potência OC
EquipmentText/EquipmentTypeID270000,OC Chip,OC Chip
EquipmentText/EquipmentTypeID240000,Warpstep Boot,Warpstep Boot
EquipmentText/AffixeName41,Warp,Warp
EquipmentText/Cosmetic_Type_Wing_Name,Cyclic Wings,Asas Cíclicas
EquipmentText/Cosmetic_Type_Wing,Cyclic Wings (Cosmetic),Asas Cíclicas (Cosmético)
EquipmentText/Armor_Type_Light,Light,Leve
EquipmentText/TalentDesc4100,[Aux Weapon] DMG +<Green_12>%s%</>,[Arma Aux.] Dano +<Green_12>%s%</>
EquipmentText/TalentDesc4104,[Aux Weapon] Slot +<Green_12>%s</>,[Arma Aux.] Espaço +<Green_12>%s</>
EquipmentText/TalentDesc4102,[Aux Weapon] Attack Spd +<Green_12>%s%</>,[Arma Aux.] Ataque Spd +<Green_12>%s%</>
EquipmentText/TalentDesc4105,[Aux Weapon] Crit Chance +<Green_12>%s%</>,[Arma Aux.] Chance Crítica +<Green_12>%s%</>
EquipmentText/Attribute_AuxWeapon_Name,Auxiliary Weapon,Arma Auxiliar
EquipmentText/Attribute_AuxWeapon_Info1,Aux Weapon Damage,Aux Arma Dano
EquipmentText/Attribute_AuxWeapon_Info4,Auxiliary Weapon Range,Arma Auxiliar Alcance
EquipmentText/Attribute_AuxWeapon_Info2,Aux Weapon Duration,Aux Arma Duração
EquipmentText/Attribute_AuxWeapon_Info5,Aux Weapon Slots,Aux Arma Espaços
EquipmentText/TalentName4104,Aux Slot,Aux Slot
EquipmentText/Attribute_AuxWeapon_Info3,Aux Weapon Attack Spd,Velocidade de Ataque de Arma Auxiliar
EquipmentText/Attribute_AuxWeapon_Info6,Aux Weapon Crit Chance,Aux Arma Chance Crítica
EquipmentText/Attribute_AuxWeapon_Desc1,Bonus damage for Auxiliary Weapon-type Divine Tech abilities,Bônus de dano para habilidades de Tecnologia Divina do tipo Arma Auxiliar
EquipmentText/Attribute_AuxWeapon_Desc4,Bonus Range for Auxiliary Weapon-type Divine Tech abilities,Bônus de Alcance para habilidades de Tecnologia Divina do tipo Arma Auxiliar
EquipmentText/Attribute_AuxWeapon_Desc2,Bonus duration for Auxiliary Weapon-type Divine Tech abilities,Bônus de duração para habilidades de Tecnologia Divina do tipo Arma Auxiliar
EquipmentText/Attribute_AuxWeapon_Desc3,Bonus attack speed for Auxiliary Weapon-type Divine Tech abilities,Bônus de velocidade de ataque para habilidades de Tecnologia Divina do tipo Arma Auxiliar
EquipmentText/Attribute_AuxWeapon_Desc6,Bonus Crit Chance for Auxiliary Weapon-type Divine Tech abilities,Bônus de Chance Crítica para habilidades de Tecnologia Divina do tipo Arma Auxiliar
EquipmentText/AffixeName15,Aux,Aux
EquipmentText/AffixeName57,Support,Support
EquipmentText/TalentName2305,Cooldown,Recarga
EquipmentText/TalentName3305,Cooldown,Recarga
EquipmentText/TalentName4309,Cooldown,Recarga
EquipmentText/TalentName5203,Cooldown,Recarga
EquipmentText/TalentName5207,Cooldown,Recarga
EquipmentText/TalentName5309,Cooldown,Recarga
EquipmentText/EquipmentTypeID210000,Swiftplate Armor,Swiftplate Armadura
EquipmentText/TalentName1004,Quick Load,Quick Load
EquipmentText/TalentName2002,Quick Load,Quick Load
EquipmentText/TalentName2200,Quick Load,Quick Load
EquipmentText/TalentName2206,Quick Load,Quick Load
EquipmentText/TalentName3002,Quick Load,Quick Load
EquipmentText/TalentName4006,Quick Load,Quick Load
EquipmentText/TalentName4200,Quick Load,Quick Load
EquipmentText/TalentName4206,Quick Load,Quick Load
EquipmentText/EquipmentTypeID260510,Overheat Chain Bracelet,Bracelete de Corrente Superaquecida
EquipmentText/AffixeName27,Overload,Overload
EquipmentText/EquipmentTypeID211504,Close-Quarters Combat Suit,Traje de Combate Corpo a Corpo
EquipmentText/TalentName2009,CQC Expert,CQC Expert
EquipmentText/EquipmentTypeID210503,Long-Range Combat Suit,Traje de Combate de Longo Alcance
EquipmentText/TalentName1204,Long Shot,Long Shot
EquipmentText/TalentName2003,Long Shot,Long Shot
EquipmentText/TalentName5007,Long Shot,Long Shot
EquipmentText/TalentName5104,Long Shot,Long Shot
EquipmentText/TalentName1010,Combo,Combo
EquipmentText/AffixeName2005,Rapid Fire,Rapid Fire
EquipmentText/TalentName5009,Rapid Arrow,Rapid Arrow
EquipmentText/TalentName1210,Chain Chase,Perseguição em Cadeia
EquipmentText/TalentName5110,Chain Chase,Perseguição em Cadeia
EquipmentText/TalentName1200,Chase DMG,Dano de Perseguição
EquipmentText/TalentName2100,Chase DMG,Dano de Perseguição
EquipmentText/TalentName5100,Chase DMG,Dano de Perseguição
EquipmentText/Attribute_Chase_Name,Chase,Perseguição
EquipmentText/Attribute_Chase_Info1,Chase Damage,Perseguição Dano
EquipmentText/Attribute_Chase_Info2,Chase Projectiles,Perseguição Projéteis
EquipmentText/Attribute_Chase_Info4,Chase Duration,Perseguição Duração
EquipmentText/Attribute_Chase_Info5,Chase Slots,Perseguição Espaços
EquipmentText/TalentName1206,Chase Slot,Espaço de Perseguição
EquipmentText/TalentName2104,Chase Slot,Espaço de Perseguição
EquipmentText/TalentName5106,Chase Slot,Espaço de Perseguição
EquipmentText/TalentName1209,Chase Crit,Crítico de Perseguição
EquipmentText/TalentName2108,Chase Crit,Crítico de Perseguição
EquipmentText/Attribute_Chase_Info6,Chase Crit Chance,Perseguição Chance Crítica
EquipmentText/Attribute_Chase_Desc1,Bonus damage for chase-type Divine Tech abilities,Bônus de dano para habilidades de Tecnologia Divina do tipo Perseguição
EquipmentText/Attribute_Chase_Desc4,Bonus duration for chase-type Divine Tech abilities,Bônus de duração para habilidades de Tecnologia Divina do tipo Perseguição
EquipmentText/Attribute_Chase_Desc3,Bonus Area for chase-type Divine Tech abilities,Bônus de Área para habilidades de Tecnologia Divina do tipo Perseguição
EquipmentText/Attribute_Chase_Desc6,Bonus Crit Chance for chase-type Divine Tech abilities,Bônus de Chance Crítica para habilidades de Tecnologia Divina do tipo Perseguição
EquipmentText/Attribute_Chase_Info3,Chase Area,Perseguição Área
EquipmentText/TalentName1202,Chase Area,Área de Perseguição
EquipmentText/TalentName2102,Chase Area,Área de Perseguição
EquipmentText/TalentName5102,Chase Area,Área de Perseguição
EquipmentText/EquipmentTypeID201502,Stalker Helm,Elmo do Espreitador
EquipmentText/EquipmentTypeID200501,Stalker Visor,Visor do Espreitador
EquipmentText/EquipmentTypeID170500,Hunt Beacon,Sinalizador de Caça
EquipmentText/AffixeName54,Hunting,Hunting
EquipmentText/TalentName3108,Adrenaline,Adrenaline
EquipmentText/EquipmentTypeID211001,Backfire Armor,Backfire Armadura
EquipmentText/TalentName3210,Bounty,Bounty
EquipmentText/TalentName1201,Fast Shot,Fast Shot
EquipmentText/TalentName2101,Fast Shot,Fast Shot
EquipmentText/TalentName5101,Fast Shot,Fast Shot
EquipmentText/EquipmentTypeID250512,Rapid-Fire Calibrator,Calibrador de Tiro Rápido
EquipmentText/EquipmentTypeID170000,Rapid Shortbow,Rapid Shortbow
EquipmentText/Attribute_Others_Info5,Item Drop Rate,Chance de Obtenção de Itens
EquipmentText/TalentName1400,Gather,Gather
EquipmentText/TalentName2400,Gather,Gather
EquipmentText/TalentName3400,Gather,Gather
EquipmentText/TalentName4400,Gather,Gather
EquipmentText/TalentName5400,Gather,Gather
EquipmentText/ModuleTips2149,"While [Tactical Skill - Electromagnetic Storm] is active, [Dash - Lightning Transform] has no cooldown.","Enquanto [Habilidade Tática - Electromagnetic Storm] está ativa, [Dash - Lightning Transform] não tem recarga."
EquipmentText/TalentDesc5209,"After casting [Tactical Skill], <Green_12>10%</> chance to cast another random [Tactical Skill] (auto only)","Após conjurar [Habilidade Tática], <Green_12>10%</> de chance de conjurar outra [Habilidade Tática] aleatória (somente automático)"
EquipmentText/TalentDesc2210,"After casting [Psionic], <Green_12>20%</> chance to cast again","Após conjurar [Psiônico], <Green_12>20%</> de chance de conjurar novamente"
EquipmentText/TalentDesc4210,"After casting [Psionic], <Green_12>20%</> chance to cast again","Após conjurar [Psiônico], <Green_12>20%</> de chance de conjurar novamente"
EquipmentText/TalentDesc3110,"After casting [Psionic], gain <Green_12>2.5</> Armor for <Green_12>5</>s, stacks up to <Green_12>5</>","Após conjurar [Psiônico], ganha <Green_12>2.5</> de Armadura por <Green_12>5</>s, acumulando até <Green_12>5</> vezes"
EquipmentText/TalentDesc2211,"Using [Psionic] has a <Green_12>35%</> chance to gain <Green_12>10%</> damage reduction for <Green_12>3</>s. When this buff ends, it explodes, dealing <Green_12>1500</><White_12>(Scales with Combat Level up to 8850)</> [Psionic] damage.","Usar [Psiônico] tem <Green_12>35%</> de chance de conceder <Green_12>10%</> de redução de dano por <Green_12>3</>s. Quando este bônus termina, ele explode, causando <Green_12>1500</><White_12>(Escala com o Nível de Combate até 8850)</> de dano [Psiônico]."
EquipmentText/EquipmentTypeID221001,Gravity Belt,Gravity Belt
EquipmentText/EquipmentTypeID241000,Heavy Mag-Beam Boot,Heavy Mag-Beam Boot
EquipmentText/EquipmentTypeID250508,Rebirth Insurer,Segurador do Renascimento
EquipmentText/Armor_Type_Heavy,Heavy,Pesado
EquipmentText/TalentName1407,Reroll,Reroll
EquipmentText/TalentName2409,Reroll,Reroll
EquipmentText/TalentName3409,Reroll,Reroll
EquipmentText/TalentName4407,Reroll,Reroll
EquipmentText/TalentName5407,Reroll,Reroll
EquipmentText/AffixeName47,Reroll,Reroll
EquipmentText/EquipmentTypeID231000,Hammerfist,Hammerfist
EquipmentText/EquipmentTypeID260001,Quantum Band,Quantum Band
EquipmentText/TalentName2309,Bastion,Bastion
EquipmentText/TalentName3309,Bastion,Bastion
EquipmentText/EquipmentTypeID211501,Bastion Alloy Chestplate,Peitoral de Liga Bastião
EquipmentText/EquipmentTypeID260507,Iron Judgment Bracelet,Bracelete do Julgamento de Ferro
EquipmentText/EquipmentTypeID130010,Ironbone Plasma Rifle,Ironbone Plasma Rifle
EquipmentText/AffixeName2007,Chain,Corrente
EquipmentText/EquipmentTypeID250500,Koi-Tek Visor,Visor Koi-Tek
EquipmentText/EquipmentTypeID120000,Sawed-Off Shotgun,Sawed-Off Shotgun
EquipmentText/EquipmentTypeID241500,Riot-Strike Heavy Boot,Riot-Strike Heavy Boot
EquipmentText/TalentName1003,Dash Reload,Recarga de Dash
EquipmentText/EquipmentTypeID200505,Lightning Charge Helm,Elmo de Carga Elétrica
EquipmentText/Attribute_Survival_Info9,Evasion,Evasão
EquipmentText/arr_BaseAttributeBonusDisplay2,Evasion + <Green_14>%s</>,Evasão + <Green_14>%s</>
EquipmentText/EquipmentTypeID200000,Stealth Helmet,Stealth Helmet
EquipmentText/AffixeName2032,Lightning Counter,Lightning Counter
EquipmentText/AffixeName2018,Stormsurge,Stormsurge
EquipmentText/EquipmentTypeID150502,Mjolnir,Mjolnir
EquipmentText/AffixeName2057,Thunder Roar,Thunder Roar
EquipmentText/TalentName2107,Shock Chase,Shock Perseguição
EquipmentText/AffixeName2031,Frost Detonation,Frost Detonation
EquipmentText/Weapon_Type_SG,Shotgun,Shotgun
EquipmentText/ModuleTips2012,"When stationary, [Weapon] Fire Rate +<Green_14>20%</>, <Green_14>50%</> chance not to consume ammo. When moving, [Weapon] Damage +<Green_14>20%</>.","Quando stationary, [Arma] Cadência de Tiro +<Green_14>20%</>, <Green_14>50%</> chance not to consume ammo. Quando moving, [Arma] Dano +<Green_14>20%</>."
EquipmentText/EquipmentTypeID110500,Static Anchor,Âncora Estática
EquipmentText/EquipmentTypeID260506,Silent Torrent Bracelet,Bracelete da Torrente Silenciosa
EquipmentText/Armor_Type_Boot,Boots,Botas
EquipmentText/TalentDesc2200,Extra [Weapon] Reload Speed +<Green_12>%s%</>,Extra [Arma] Velocidade de Recarga +<Green_12>%s%</>
EquipmentText/TalentDesc2206,Extra [Weapon] Reload Speed +<Green_12>%s%</>,Extra [Arma] Velocidade de Recarga +<Green_12>%s%</>
EquipmentText/TalentDesc4200,Extra [Weapon] Reload Speed +<Green_12>%s%</>,Extra [Arma] Velocidade de Recarga +<Green_12>%s%</>
EquipmentText/TalentDesc4206,Extra [Weapon] Reload Speed +<Green_12>%s%</>,Extra [Arma] Velocidade de Recarga +<Green_12>%s%</>
EquipmentText/Attribute_Ammo_Info9,Magazine Capacity Bonus,Bônus de Capacidade do Carregador
EquipmentText/Attribute_Ammo_Info7,Ricochet Count Bonus,Bônus de Quantidade de Ricochetes
EquipmentText/Attribute_Ammo_Info5,Projectile Count Bonus,Bônus de Quantidade de Projéteis
EquipmentText/Attribute_Ammo_Info8,Reload Speed Bonus,Bônus de Velocidade de Recarga
EquipmentText/Attribute_Ammo_Info4,Weapon Pierce Bonus,Bônus de Perfuração de Arma
EquipmentText/EquipmentTypeID150020,Storm Launcher,Storm Launcher
EquipmentText/EquipmentTypeID200504,Stormhelm,Elmo da Tempestade
EquipmentText/EquipmentTypeID120020,Tempest Shotgun,Tempest Shotgun
EquipmentText/EquipmentTypeID160020,Windhawk Sniper,Windhawk Sniper
EquipmentText/TalentName2410,Ascend,Ascend
EquipmentText/TalentName3410,Ascend,Ascend
EquipmentText/AffixeName2001,Searing,Searing
EquipmentText/AffixeName2004,High-ImTech,High-ImTech
EquipmentText/EquipmentTypeID160500,Frei-Schütze,Frei-Schütze
EquipmentText/EquipmentTypeID241502,Inferno Greaves,Grevas do Inferno
EquipmentText/EquipmentTypeID170501,Arcanist Longbow,Arco Longo do Arcanista
EquipmentText/EquipmentTypeID230504,Blood Feast,Banquete de Sangue
EquipmentText/AffixeName2058,Fatal Poison,Fatal Poison
EquipmentText/EquipmentTypeID250504,Hacker Shades,Óculos de Hacker
EquipmentText/ModuleTips2131,Black Hole explosion damage increased by <Green_14>100%</>. Enemies affected by the Black Hole have their Move Speed reduced by <Green_14>70%</> for <Green_14>3</> seconds.,Dano da explosão do Buraco Negro aumentado em <Green_14>100%</>. Inimigos afetados pelo Buraco Negro têm a Velocidade de Movimento reduzida em <Green_14>70%</> por <Green_14>3</> segundos.
EventText/Attribute_SwordInStone,"%? %d%% Crit Chance, %d%% Crit DMG","%? %d%% Chance Crítica, %d%% Dano Crítico"
EventText/Attribute_SprintSlot,%d [Dash] Slots,%d espaços de [Avanço]
EventText/Attribute_DashChargeInc,%d [Dash] Charges,%d cargas de [Avanço]
EventText/Attribute_SkillSlot,%d [Tactical Skill] Slots,%d espaços de [Habilidade Tática]
EventText/Attribute_ThrowCharge,%d [Throw] Charges,%d cargas de [Arremesso]
EventText/Attribute_ThrowCount,%d [Throw] Projectile Count,%d projéteis de [Arremesso]
EventText/Attribute_ThrowSlot,%d [Throw] Slots,%d espaços de [Arremesso]
EventText/Attribute_WeaponRicochetInc,%d [Weapon] Ricochet Count,%d ricochetes de [Arma]
EventText/Attribute_WeaponProjInc,%d [Weapon] Projectile Count,%d projéteis de [Arma]
EventText/Attribute_AmmoSlot,%d [Weapon] Slots,%d espaços de [Arma]
EventText/Attribute_PsionicSlot,%d [Psionic] Slots,%d espaços de [Psiônico]
EventText/Attribute_AuxWeaponSlot,%d [Auxiliary Weapon] Slots,%d espaços de [Arma Auxiliar]
EventText/Attribute_ChaseSlot,%d [Chase] Slots,%d espaços de [Perseguição]
EventText/Attribute_KillHealInc,%d On-Kill Heal,%d de Cura ao Abater
EventText/Attribute_HealthOnLevelUp,%d Level-Up Heal,%d de Cura ao Subir de Nível
EventText/Attribute_RebornInc,%d Revival Count,%d revives
EventText/Attribute_ArmorInc,%d Armor,%d de Armadura
EventText/Attribute_MaxHPInc,%d Max HP,%d de Vida Máxima
EventText/Attribute_JiaHP,%d HP,%d de Vida
EventText/Attribute_TechBanInc,%d Tech Bans,%d Banimentos de Tecnologia
EventText/Attribute_TechAlterInc,%d Tech Alterations,%d Alterações de Tecnologia
EventText/Attribute_TechRerollInc,%d Tech Rerolls,%d Rerrolagens de Tecnologia
EventText/Attribute_LvUp,%d Level,%d nível
EventText/Attribute_ExpGet,%d EXP,%d EXP
EventText/Attribute_ExpColRangeInc,%d EXP Pickup Radius,%d de Raio de Coleta de EXP
EventText/Attribute_TechSpawnRateInc,%d%% %p Tech Spawn Chance,%d%% de chance de aparecer Tecnologia %p
EventText/Attribute_LegendTech,%d%% <Tab_Buff_ChuanShuo>Legendary Divine Tech</> Spawn Rate,%d%% de Taxa de Aparecimento de <Tab_Buff_ChuanShuo>Tecnologia Divina Lendária</>
EventText/Attribute_MythicTech,%d%% <Tab_Buff_ShenHua>Mythic Divine Tech</> Spawn Rate,%d%% de Taxa de Aparecimento de <Tab_Buff_ShenHua>Tecnologia Divina Mítica</>
EventText/Attribute_EpicTech,%d%% <Tab_Buff_ShiShi>Epic Divine Tech</> Spawn Rate,%d%% de Taxa de Aparecimento de <Tab_Buff_ShiShi>Tecnologia Divina Épica</>
EventText/Attribute_RareTech,%d%% <Tab_Buff_XiYou>Rare Divine Tech</> Spawn Rate,%d%% de Taxa de Aparecimento de <Tab_Buff_XiYou>Tecnologia Divina Rara</>
EventText/Attribute_BaoZhaUp,%d%% <Tab_baozha12>[Explosion]</> Tech spawn chance weight,%d%% de peso de chance de aparecer Tecnologia <Tab_baozha12>[Explosão]</>
EventText/Attribute_HanBingUp,%d%% <Tab_hanbing12>[Frost]</> Tech spawn chance weight,%d%% de peso de chance de aparecer Tecnologia <Tab_hanbing12>[Gelo]</>
EventText/Attribute_LeiDianUp,%d%% <Tab_leidian12>[Lightning]</> Tech spawn chance weight,%d%% de peso de chance de aparecer Tecnologia <Tab_leidian12>[Relâmpago]</>
EventText/Attribute_LieYanUp,%d%% <Tab_lieyan12>[Inferno]</> Tech spawn chance weight,%d%% de peso de chance de aparecer Tecnologia <Tab_lieyan12>[Inferno]</>
EventText/Attribute_QiangSuanUp,%d%% <Tab_qiangsuan12>[Corrosive]</> Tech spawn chance weight,%d%% de peso de chance de aparecer Tecnologia <Tab_qiangsuan12>[Corrosivo]</>
EventText/Attribute_ZhiXieUp,%d%% <Tab_zhixie12>[Mechatech]</> Tech spawn chance weight,%d%% de peso de chance de aparecer Tecnologia <Tab_zhixie12>[Mechatech]</>
EventText/Attribute_DashDMGInc,%d%% [Dash] Damage,%d%% de Dano de [Avanço]
EventText/Attribute_SprintCD,%d%% [Dash] CD Reduction,%d%% de Redução de Recarga de [Avanço]
EventText/Attribute_DashDUInc,%d%% [Dash] Duration,%d%% de Duração de [Avanço]
EventText/Attribute_DashCRInc,%d%% [Dash] Crit Chance,%d%% de Chance Crítica de [Avanço]
EventText/Attribute_DashRangeInc,%d%% [Dash] Area,%d%% de Área de [Avanço]
EventText/Attribute_SkillDMGInc,%d%% [Tactical Skill] DMG,%d%% de Dano de [Habilidade Tática]
EventText/Attribute_SkillDUInc,%d%% [Tactical Skill] Duration,%d%% de Duração de [Habilidade Tática]
EventText/Attribute_SkillCRInc,%d%% [Tactical Skill] Crit Chance,%d%% de Chance Crítica de [Habilidade Tática]
EventText/Attribute_SkillRangeInc,%d%% [Tactical Skill] Area,%d%% de Área de [Habilidade Tática]
EventText/Attribute_ThrowDMGInc,%d%% [Throw] Damage,%d%% de Dano de [Arremesso]
EventText/Attribute_ThrowDUInc,%d%% [Throw] Duration,%d%% de Duração de [Arremesso]
EventText/Attribute_ThrowCRInc,%d%% [Throw] Crit Chance,%d%% de Chance Crítica de [Arremesso]
EventText/Attribute_ThrowRangeInc,%d%% [Throw] Area,%d%% de Área de [Arremesso]
EventText/Attribute_WeaponDamageInc,%d%% [Weapon] Damage,%d%% de Dano de [Arma]
EventText/Attribute_FireRateInc,%d%% [Weapon] Fire Rate,%d%% de Cadência de Tiro de [Arma]
EventText/Attribute_WeaponRangeInc,%d%% [Weapon] Range,%d%% de Alcance de [Arma]
EventText/Attribute_WeaponReloadInc,%d%% [Weapon] Reload Speed,%d%% de Velocidade de Recarga de [Arma]
EventText/Attribute_WeaponCritDInc,%d%% [Weapon] Crit Damage,%d%% de Dano Crítico de [Arma]
EventText/Attribute_WeaponCritCInc,%d%% [Weapon] Crit Chance,%d%% de Chance Crítica de [Arma]
EventText/Attribute_PsionicDMGInc,%d%% [Psionic] Damage,%d%% de Dano [Psiônico]
EventText/Attribute_PsionicCRInc,%d%%[Psionic] Crit Chance,%d%% de Chance Crítica [Psiônica]
EventText/Attribute_PsionicRangeInc,%d%% [Psionic] Area,%d%% de Área [Psiônica]
EventText/Attribute_AuxWeaponDamageInc,%d%% [Auxiliary Weapon] Damage,%d%% de Dano de [Arma Auxiliar]
EventText/Attribute_AuxWeaponDUInc,%d%% [Auxiliary Weapon] Duration,%d%% de Duração de [Arma Auxiliar]
EventText/Attribute_AuxRangeInc,%d%% [Auxiliary Weapon] Attack Area,%d%% de Área de Ataque de [Arma Auxiliar]
EventText/Attribute_AuxRateInc,%d%% [Auxiliary Weapon] Attack Speed,%d%% de Velocidade de Ataque de [Arma Auxiliar]
EventText/Attribute_AuxWeaponCRInc,%d%% [Auxiliary Weapon] Crit Chance,%d%% de Chance Crítica de [Arma Auxiliar]
EventText/Attribute_ChaseDMGInc,%d%% [Chase] Damage,%d%% de Dano de [Perseguição]
EventText/Attribute_ChaseCRInc,%d%% [Chase] Crit Chance,%d%% de Chance Crítica de [Perseguição]
EventText/Attribute_ChaseRangeInc,%d%% [Chase] Area,%d%% de Área de [Perseguição]
EventText/Attribute_DamageInc,%d%% Damage,%d%% de Dano
EventText/Attribute_CDReductionInc,%d%% Cooldown Reduction,%d%% de Redução de Recarga
EventText/Attribute_HealthOnKill,%d%% Chance of On-Kill Heal,%d%% de chance de Cura ao Abater
EventText/Attribute_AirdropSPD,%d%% Level-Up Airdrop arrival speed,%d%% de velocidade de chegada da Cápsula de Suprimentos ao subir de nível
EventText/Attribute_DMGBossInc,%d%% Damage to Elites & Boss,%d%% de dano contra Elites e Chefes
EventText/Attribute_HealthOnHit,%d%% Chance of On-Hit Heal,%d%% de chance de Cura ao Acertar
EventText/Attribute_LuckInc,%d%% Luck,%d%% de Sorte
EventText/Attribute_Duration,%d%% Duration,%d%% de Duração
EventText/Attribute_CritDMGInc,%d%% Crit Damage,%d%% de Dano Crítico
EventText/Attribute_CritChanceInc,%d%% Crit Chance,%d%% de Chance Crítica
EventText/Attribute_ItemDropInc,%d%% Consumable item drop rate,%d%% de Chance de Obtenção de itens consumíveis
EventText/Attribute_HealBonusInc,%d%% Healing Bonus,%d%% de Bônus de Cura
EventText/Attribute_MoveSPDInc,%d%% Movement Speed,%d%% de Velocidade de Movimento
EventText/Attribute_ExpGetBonus,%d%% EXP Gain,%d%% de Ganho de EXP
EventText/Attribute_HPRegenInc,%f Health Regen,%f de Regeneração de Vida
EventText/Attribute_CantGetExp,%t%d sec cannot gain EXP,%t%d s sem ganhar EXP
EventText/AIFengShui_Buff1,<interact_Blue>Rare Divine Tech</> Spawn Rate <interact_Green>+18%</>,Taxa de Aparecimento de <interact_Blue>Tecnologia Divina Rara</> <interact_Green>+18%</>
EventText/AIFengShui_Buff4,<interact_Golden>Mythic Divine Tech</> Spawn Rate <interact_Green>+2%</>,Taxa de Aparecimento de <interact_Golden>Tecnologia Divina Mítica</> <interact_Green>+2%</>
EventText/ZhaoCai_Buff1,EXP Pickup Radius is <interact_Green>greatly increased</> in <interact_Green>10</> sec,O Raio de Coleta de EXP aumenta <interact_Green>muito</> por <interact_Green>10</> s
EventText/HPXieYi_Buff2,"For <interact_Green>120</>s, Chance of On-Hit Heal <interact_Green>+15%</>","Por <interact_Green>120</>s, Chance de Cura ao Acertar <interact_Green>+15%</>"
EventText/JingZhunDW_Buff1,Level-Up Airdrop arrival speed <interact_Green>+100%</> in <interact_Green>180</> sec,Velocidade de chegada da Cápsula de Suprimentos ao subir de nível <interact_Green>+100%</> por <interact_Green>180</> s
